epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6263361573219299,0.6774833798408508,9.999999747378752e-05,0.6584985256195068,0.6270396709442139,0.6235671639442444,0.6446850299835205,0.7134366631507874,0.6516379117965698,0.7015275955200195,0.5036557912826538
1,0.6862385869026184,0.7562189698219299,9.999999747378752e-05,0.609000027179718,0.6882089972496033,0.6810038685798645,0.6515747904777527,0.7251580357551575,0.6469404101371765,0.6769533753395081,0.579865038394928
2,0.7227848172187805,0.8009154200553894,9.999999747378752e-05,0.5771066546440125,0.7251599431037903,0.7175105214118958,0.6840550899505615,0.7544376850128174,0.6320713758468628,0.6930109262466431,0.6608548760414124
3,0.7586014270782471,0.8407291173934937,9.999999747378752e-05,0.5416597723960876,0.7608462572097778,0.7542985081672668,0.66816645860672,0.7425839304924011,0.6693529486656189,0.6854838728904724,0.6214848160743713
4,0.7905063033103943,0.8732457160949707,9.999999747378752e-05,0.5071731805801392,0.7927840352058411,0.7866165637969971,0.6770247220993042,0.7566352486610413,0.7097268104553223,0.7376368641853333,0.5494937896728516
5,0.8189829587936401,0.9009673595428467,9.999999747378752e-05,0.4714573621749878,0.8207224607467651,0.8162711262702942,0.6851799488067627,0.7599791884422302,0.7115985751152039,0.676022469997406,0.7111923694610596
6,0.8430138230323792,0.9220237731933594,9.999999747378752e-05,0.4404778778553009,0.8444657325744629,0.8409063220024109,0.6860235929489136,0.7608827352523804,0.738048791885376,0.6915725469589233,0.6715410351753235
7,0.8630625605583191,0.9381992816925049,9.999999747378752e-05,0.41342341899871826,0.8645076751708984,0.8610803484916687,0.6886951923370361,0.7609894871711731,0.7901230454444885,0.7242646813392639,0.6093925833702087
8,0.8787469267845154,0.9500464200973511,9.999999747378752e-05,0.3915415108203888,0.8797433376312256,0.8774349689483643,0.6718222498893738,0.7522285580635071,0.8366793990135193,0.7179030179977417,0.5660855174064636
9,0.8916161060333252,0.9587831497192383,9.999999747378752e-05,0.37422803044319153,0.8926429152488708,0.8903085589408875,0.6863048076629639,0.7609156966209412,0.8281462788581848,0.6705276966094971,0.7325646877288818
