epoch,accuracy,auc,f1_score,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.5179955959320068,0.523065447807312,0.5137224793434143,9.999999747378752e-06,0.7912793755531311,0.5176666378974915,0.5171650052070618,0.5,0.506504237651825,0.3333333134651184,0.7424180507659912,0.5,0.5
1,0.5293466448783875,0.54947829246521,0.526546061038971,9.999999747378752e-06,0.7590488195419312,0.5292486548423767,0.5285160541534424,0.527429461479187,0.5235960483551025,0.46132323145866394,0.7218768000602722,0.5270588397979736,0.5266457796096802
2,0.5437430739402771,0.5638940334320068,0.5425928831100464,9.999999747378752e-06,0.7462753653526306,0.5435897707939148,0.5429125428199768,0.517241358757019,0.5343353748321533,0.5070140957832336,0.7063479423522949,0.5172955989837646,0.5156739950180054
3,0.5490033030509949,0.5666602849960327,0.5486480593681335,9.999999747378752e-06,0.7442363500595093,0.5488972067832947,0.5477574467658997,0.5438871383666992,0.558785080909729,0.5430068373680115,0.6897003054618835,0.5439560413360596,0.5431034564971924
4,0.5521871447563171,0.5720121264457703,0.55214524269104,9.999999747378752e-06,0.7357722520828247,0.5522016286849976,0.5520487427711487,0.5219435691833496,0.5403817296028137,0.5208122134208679,0.6978217959403992,0.5227629542350769,0.5219435691833496
5,0.5577242374420166,0.5771675109863281,0.5577612519264221,9.999999747378752e-06,0.7313004732131958,0.557756245136261,0.5574473738670349,0.5188087821006775,0.544178307056427,0.5161588191986084,0.6953834891319275,0.5192458629608154,0.5180251002311707
6,0.5646456480026245,0.582870602607727,0.564865231513977,9.999999747378752e-06,0.7290899753570557,0.5645787119865417,0.5639534592628479,0.5188087821006775,0.5414215326309204,0.5042493343353271,0.6967129707336426,0.5192761421203613,0.517241358757019
7,0.5550941228866577,0.5817135572433472,0.5552010536193848,9.999999747378752e-06,0.726660430431366,0.5555093288421631,0.554817259311676,0.5415360331535339,0.5496540665626526,0.5387594699859619,0.6929416656494141,0.5416012406349182,0.5407523512840271
8,0.5728128552436829,0.5922930240631104,0.573039174079895,9.999999747378752e-06,0.718996524810791,0.5730119347572327,0.5725359916687012,0.544670820236206,0.5562887787818909,0.5402628779411316,0.6893441677093506,0.5443833470344543,0.5431034564971924
9,0.5560631155967712,0.5769364237785339,0.5562182664871216,9.999999747378752e-06,0.7324881553649902,0.5559712052345276,0.5555093884468079,0.5266457796096802,0.5451176762580872,0.5049078464508057,0.6975440382957458,0.5283018946647644,0.5266457796096802
10,0.5661683082580566,0.5896419286727905,0.5665204524993896,9.999999747378752e-06,0.7246904969215393,0.5668330788612366,0.565891444683075,0.5219435691833496,0.5498560667037964,0.4967917501926422,0.697782039642334,0.5223880410194397,0.5211598873138428
11,0.5671373009681702,0.5936488509178162,0.5669993162155151,9.999999747378752e-06,0.7226125001907349,0.5670917630195618,0.5663067698478699,0.5517241358757019,0.5607762932777405,0.5504312515258789,0.6877577304840088,0.5507474541664124,0.5485893487930298
12,0.5748892426490784,0.5980921983718872,0.5749242901802063,9.999999747378752e-06,0.7149032354354858,0.5749099850654602,0.5747508406639099,0.5305642485618591,0.5553207993507385,0.49118030071258545,0.6964783668518066,0.5305642485618591,0.5305642485618591
